ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-01,83.26593194749219,62.44324056936433,101.02373950073432,83.26593194749219,83.26593194749219,-1.4684676623530197,-1.4684676623530197,-1.4684676623530197,-1.4684676623530197,-1.4684676623530197,-1.4684676623530197,0.0,0.0,0.0,81.79746428513917
2023-12-02,83.28375739050777,58.78651671014278,97.136923638348,83.28375739050777,83.28375739050777,-4.6487339839442345,-4.6487339839442345,-4.6487339839442345,-4.6487339839442345,-4.6487339839442345,-4.6487339839442345,0.0,0.0,0.0,78.63502340656353
2023-12-03,83.30158283352331,54.756213253352975,94.36706452509287,83.30158283352331,83.30158283352331,-9.198533353228761,-9.198533353228761,-9.198533353228761,-9.198533353228761,-9.198533353228761,-9.198533353228761,0.0,0.0,0.0,74.10304948029454
2023-12-04,83.31940827653888,47.61406217979064,87.13597767135356,83.31940827653888,83.31940827653888,-15.0107709459064,-15.0107709459064,-15.0107709459064,-15.0107709459064,-15.0107709459064,-15.0107709459064,0.0,0.0,0.0,68.30863733063248
2023-12-05,83.33723371955443,42.48726143601163,82.22457305950172,83.33723371955443,83.33723371955443,-21.933841786174845,-21.933841786174845,-21.933841786174845,-21.933841786174845,-21.933841786174845,-21.933841786174845,0.0,0.0,0.0,61.40339193337959
2023-12-06,83.35505916257,33.60806415630056,71.55759591448012,83.35505916257,83.35505916257,-29.775850541065296,-29.775850541065296,-29.775850541065296,-29.775850541065296,-29.775850541065296,-29.775850541065296,0.0,0.0,0.0,53.579208621504705
2023-12-07,83.37288460558555,25.104493789520774,64.14389346105558,83.37288460558555,83.37288460558555,-38.31020952762722,-38.31020952762722,-38.31020952762722,-38.31020952762722,-38.31020952762722,-38.31020952762722,0.0,0.0,0.0,45.06267507795833
2023-12-08,83.39071004860111,16.887128777083145,54.70457184076261,83.39071004860111,83.39071004860111,-47.282458701639776,-47.282458701639776,-47.282458701639776,-47.282458701639776,-47.282458701639776,-47.282458701639776,0.0,0.0,0.0,36.10825134696133
2023-12-09,83.40853549161666,8.030543431790786,46.72202058748491,83.40853549161666,83.40853549161666,-56.418110702231424,-56.418110702231424,-56.418110702231424,-56.418110702231424,-56.418110702231424,-56.418110702231424,0.0,0.0,0.0,26.990424789385237
2023-12-10,83.42636093463223,-2.561903492824798,36.788128558646854,83.42636093463223,83.42636093463223,-65.43128890798471,-65.43128890798471,-65.43128890798471,-65.43128890798471,-65.43128890798471,-65.43128890798471,0.0,0.0,0.0,17.99507202664752
